peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.6035371,0.11545115,550.0
0.6601537,0.09468753,551.0
0.54378635,0.10458209,552.0
0.6246142,0.13652827,553.0
0.4993155,0.1025629,554.0
0.64708513,0.11778804,555.0
0.42280227,0.11153623,556.0
0.49488735,0.1034798,557.0
0.6144418,0.12434127,558.0
0.57504785,0.1295398,559.0
0.4441929,0.0471226,560.0
0.45275906,0.058254294,561.0
0.41145906,0.051396057,562.0
0.74456626,0.06656921,563.0
0.7624771,0.08513958,564.0
0.6076289,0.0409863,565.0
0.68577266,0.05366016,566.0
0.580592,0.062460925,567.0
0.59413004,0.07868463,568.0
0.43141815,0.05834534,569.0
0.38884223,0.028143866,570.0
0.5524035,0.08378581,571.0
0.36701602,0.051668175,572.0
0.5992674,0.05737937,573.0
0.55850697,0.11722164,574.0
0.41899335,0.101423785,575.0
0.5314004,0.118420735,576.0
0.512227,0.12379103,577.0
0.3338172,0.086911745,578.0
0.6144418,0.12434127,579.0
0.49488735,0.1034798,580.0
0.57388026,0.11304218,581.0
0.54758155,0.119002424,582.0
0.53404075,0.09871489,583.0
0.4226098,0.124696374,584.0
0.51793367,0.11075985,585.0
0.49508807,0.11211999,586.0
0.45508647,0.0851645,587.0
0.6156584,0.12817033,588.0
0.6489547,0.14657104,589.0
0.6080211,0.12387965,590.0
0.39020655,0.07556223,591.0
0.37558416,0.0956327,592.0
0.41356754,0.10010611,593.0
0.37657613,0.11296453,594.0
0.55999845,0.10979998,595.0
0.5935823,0.13000152,596.0
0.5782845,0.11182403,597.0
0.5494666,0.095607854,598.0
0.57163554,0.11095111,599.0
0.5914096,0.11934501,600.0
0.5553492,0.08168305,601.0
0.5516298,0.08033712,602.0
0.56637245,0.09491953,603.0
0.5521193,0.122918524,604.0
0.55158347,0.11579409,605.0
0.5676403,0.12468668,606.0
0.45678893,0.10529833,607.0
0.45475265,0.10651191,608.0
0.5694416,0.12641689,609.0
0.5404004,0.12219421,610.0
0.53602034,0.12297318,611.0
0.5649584,0.12524119,612.0
0.5033141,0.11719058,613.0
0.5695948,0.12974909,614.0
0.52863574,0.10882031,615.0
0.5809778,0.12723805,616.0
0.5609745,0.12866688,617.0
0.57716674,0.11406377,618.0
0.53437984,0.08549979,619.0
0.5329151,0.08105869,620.0
0.42612496,0.10507883,621.0
0.4207247,0.090644546,622.0
0.34050906,0.0948832,623.0
0.44405466,0.103274,624.0
0.37416947,0.11212011,625.0
0.45281374,0.10451347,626.0
0.4037902,0.09815822,627.0
0.3990201,0.09418667,628.0
0.45261294,0.0890221,629.0
0.44437227,0.0843328,630.0
0.44186154,0.09737558,631.0
0.47391936,0.0963535,632.0
0.4683109,0.093084976,633.0
0.4743621,0.085179485,634.0
0.49676985,0.08779943,635.0
0.49364784,0.080770195,636.0
0.4627703,0.075095996,637.0
0.46973196,0.082603574,638.0
0.55605644,0.14574665,639.0
0.37532458,0.099042505,640.0
0.3741857,0.09482041,641.0
0.35799584,0.08633429,642.0
0.35937226,0.08761025,643.0
0.39410654,0.05179809,644.0
0.40411437,0.08655847,645.0
0.42869896,0.10925437,646.0
0.43433365,0.099079594,647.0
0.40087706,0.11212192,648.0
0.48750868,0.108551875,649.0
0.5653112,0.11414135,650.0
0.41853657,0.10235682,651.0
0.47406057,0.10300221,652.0
0.5208704,0.082686104,653.0
0.5275499,0.09070487,654.0
0.52141976,0.08681957,655.0
0.5171519,-0.0038876364,656.0
0.540209,0.018128758,657.0
0.54158115,0.019057682,658.0
0.66290206,0.15564558,659.0
0.6410968,0.05845613,660.0
0.73152006,0.121861696,661.0
0.72803426,0.07971649,662.0
0.79328775,0.1174575,663.0
0.8280796,0.11475489,664.0
0.48354444,0.08306428,665.0
0.4814142,-0.017608456,666.0
0.5174617,0.07917406,667.0
0.52036846,0.07588194,668.0
0.51630074,0.0034890878,669.0
0.5159564,0.0039616534,670.0
0.6416282,0.14368908,671.0
0.6359126,0.06290675,672.0
0.72706133,0.13692366,673.0
0.724088,0.077445015,674.0
0.79161036,0.11966463,675.0
0.82700145,0.11520145,676.0
0.98433787,0.13900924,677.0
0.9818527,0.12618595,678.0
0.43309006,0.08485456,679.0
0.50380236,0.05491461,680.0
0.47359776,0.07998817,681.0
0.48990184,0.0097684255,682.0
0.45151886,0.07157205,683.0
0.49834698,0.08165759,684.0
0.57664204,0.100850865,685.0
0.5447897,0.08358111,686.0
0.54051155,0.079618186,687.0
0.57587457,0.08310464,688.0
0.57744336,0.081772275,689.0
0.634758,0.102995045,690.0
0.6316677,0.100916475,691.0
0.6539671,0.10748048,692.0
0.650006,0.10203454,693.0
0.7238517,0.11433985,694.0
0.7208548,0.11104933,695.0
0.7274033,0.11823499,696.0
0.7253349,0.114507675,697.0
0.47650513,0.08063776,698.0
0.48834342,0.07821043,699.0
0.4838038,0.07375161,700.0
0.5004892,0.073296905,701.0
0.49577907,0.068892844,702.0
0.47971547,0.08373064,703.0
0.474254,0.08121051,704.0
0.5230658,0.075704396,705.0
0.52300495,0.075168386,706.0
0.50107396,0.07602965,707.0
0.49703425,0.07207945,708.0
0.5479387,0.079111114,709.0
0.54685956,0.07617477,710.0
0.5396432,0.09278839,711.0
0.5613054,0.09413777,712.0
0.6313088,0.10542751,713.0
0.6385922,0.10919078,714.0
0.71624446,0.11395632,715.0
0.36489925,0.049790993,716.0
0.29125294,0.04206283,717.0
0.37890378,0.054197498,718.0
0.31708804,0.05113098,719.0
0.3929832,0.057868972,720.0
0.35885078,0.059792545,721.0
0.42299986,0.06353416,722.0
0.40526742,0.07002377,723.0
0.45000875,0.064538345,724.0
0.44666132,0.07370583,725.0
0.48499674,0.07306542,726.0
0.4942561,0.0832659,727.0
0.521073,0.08350293,728.0
0.34298435,0.09484519,729.0
0.33045337,0.051940937,730.0
0.5900056,-0.027604796,731.0
0.45989984,0.005544979,732.0
0.34877515,-0.04830056,733.0
0.5835163,-0.015583657,734.0
0.29024887,0.006484707,735.0
